 ,Episode,Speaker,Dialogue,Eng_Translation,Start_Time,End_Time,Sarcasm_Label,Audio_Clip
Abar Proloy S2,E1,C Madhu,"Ahh, dile to sob koriye amar. Dao, dao, dao, koth
theke escho tumi aann, ei tourist gulo abar 
chokher matha kheycho abar tomra na?","Ahh, you’ve made me do everything now. Give it, 
give it, give it. Where have you come from this 
time? You tourists are such a headache, aren’t 
you?",0:29:16,0:29:07,1,AudioS2001.mpeg
,,"Animesh, C Madhu,
Animesh, C Madhu","Tahole choli..., Ei j, eta rakhen dekhi, Eita abar ki?,
Khida peli khaben","see you then..., here, keep this, now what's this, 
have it when hungry",0:29:07,0:29:00,0,AudioS2002.mpeg
,,"Animesh, Inspectors,
Animesh","Are baba, apni home delivery ta khulei felun. 
Nomoshkar, ashi tahole..., Sir, sir..., Ashi...","oh my, get youself a home delivery service setup, 
see you now..., sir, sir..., see you",0:28:59,0:28:50,0,AudioS2003.mpeg
,,C Madhu,Dugga dugga...,Dugga dugga...,0:28:47,0:28:46,0,AudioS2004.mpeg
,,"1 Ins. Lady,
C Madhu","Kima ghugnite, bom torka...,
Biswas koren maddam sir, ami kichu kori ni, ami 
kichu jani ne","Kima ghugnite, bomb torka...,
Beleive me madam, I didn't do a thing",0:27:42,0:27:37,0,AudioS2005.mpeg
,,1 Ins. Lady,"Apnar ana tiffin box chara ar onno kono bomer 
trace paowa jaye ni","except for ur tiffin, we didint find a trace of the bomb",0:27:36,0:27:33,0,AudioS2006.mpeg
,,"C Madhu,
1 Ins. Lady","Biswas koren maddam sir, ami kichu kori ni,
Ki plan chilo toder?","Please beleive me madam, I did'nt do a thing,
What was your plan?",0:27:33,0:27:28,0,AudioS2007.mpeg
,,2 Ins Lady,Kemon ache Animesh?,How is Animesh?,0:27:11,0:27:11,0,AudioS2008.mpeg
,,Indrani,"Jemon e thakuk, oke mrittyur mukhe thele diye, 
ekhon jiggesh korchen kemon ache amar 
Animesh! Ar jai hok Madam, Animesh ar dutyte  
firbe na. Ekhon apnara aste paren...","However he may be, after pushing him to the face 
of death you are now asking how my Animesh is! 
Whatever it may be Madam, Animesh will never 
return to duty again. You may leave now.",0:27:07,0:26:53,0,AudioS2009.mpeg
,,Bom Torka,,Bom Torka,0:25:39,0:25:38,N/A,N/A
,,Raniganj,,Raniganj,0:25:36,0:25:32,N/A,N/A
,,"Ins. Badal, Riya, 
Ins. Badal","Tumi bhetore jao, ami park kore aschi... dao 
helmet ta dao... , Taratari esho,  Ha aschi","you go inside, Im coming from the park, give me 
the helmet , Come fast, Yes ",0:25:25,0:25:17,0,AudioS20010.mpeg
,,"1 Dakaiot, 2 Dakaiot","Bosh, bosh, ei..., Ei, ruk saali...","sit, , hey, wait!",0:24:55,0:24:43,0,AudioS20011.mpeg
,,"Ins. Badal, Riya, 
2 Dakaiot","Eeiii..., Badal!, Chal, chal...","hey.., Badal!, lets go...",0:24:36,0:24:27,0,AudioS20012.mpeg
,,Ins. Badal,"Riyaaa, Riya, Riya chokh kholo, chokh khule 
thako, Riya, Riya... Ambulance...","Riyaaa, Riya, Riya keep your eyes open, keep 
your eyes open Riya! Ambulance!",0:23:30,0:23:17,0,AudioS20013.mpeg
,,1 Lady Reporter,"Ronokhetro ekhon Ranigonj, Ranigonjer ekti 
bikkhyato goynar showroom e charjon dushkriti
hamla kore ebong sekhan theke palanor somoy 
tara mukhomukhi hon sekhankar e local thanar 
incharge er songe, dui pokkher marattok golaguli
chole, kintu ekai loren Ins. Badal Maharana. Tini
sekhane uposthit chilen tar hobu stree er songe 
ebong tara biiyer kenakati...","Raniganj has now turned into a battlefield. Four 
criminals attacked a famous jewellery showroom in 
Raniganj and while trying to escape they 
encountered the officer-in-charge of the local police 
station. A fierce gunfight broke out between both 
sides, but Inspector Badal Maharana fought them 
alone. He was present there with his fiancée as 
they were shopping for their wedding.",0:23:14,0:22:52,0,AudioS20014.mpeg
,,"Ganesh, Wife (call),
Ganesh, Wife (call)","Haa bolo..., Notun kore ar ki bolbo?, 
Achha chele kothay go? Ki korche o?, 
Ki abar korbe? Phone niye boshe ache","yes, what were you saying?, what will I say?, 
alright where is our son, what's he doing?,
what else would he do? sat there on his phone",0:22:50,0:22:44,0,AudioS20015.mpeg
,,"Ganesh, Wife (call)","O to kalke homework kore school e jaye ni tai niye 
Madam kotha sonachhilo,
Tai ki bolchilo?","he didnt even complain his yesterdays homework, 
his Madam let me know,
is that so, what did she say?",0:22:43,0:22:39,0,AudioS20016.mpeg
,,Ganesh,"Ki sob piring piring kore ingrejite bolche, ami ki 
chhai kichu bujhi naki","She keeps saying things rapidly in English — how 
on earth am I supposed to understand that",0:22:38,0:22:35,0,AudioS20017.mpeg
,,Wife (call),Bolechilam oke homework ta korte,Asked him to do him Homework,0:22:35,0:22:34,0,AudioS20018.mpeg
,,"Ganesh, Wife (call),
Ganesh, Wife (call)","Shono, tumi ektu alada kore Madam k bhalo kore 
bujhiye bolo , Ami abar ki bolbo?, 
Baap ma er opor eto chap dile chole?, Dekhecho...","Would you pls ask ma'am a alittle nicely, 
What will i say now?, 
to not put so much pressure on mom and dad, 
Look at you!",0:22:34,0:22:27,1,AudioS20019.mpeg
,,"Ganesh, Wife (call),
Ganesh, Wife (call)","Eke cheler porashonar eto chap, tar moddhe...,
Ami ar parchi na oke niye, Ektu bujhiye bolo, 
Ar ki korte hobe suni?","already so much stress regarding the boy's studies,
I cant handle him No more, pls explain a bit, 
what else do you want me to do, lets hear",0:22:26,0:22:20,0,AudioS20020.mpeg
,,"Ganesh, Wife (call),
Ganesh, Wife (call)","Achha amar firte ektu raat hobe kemon?, 
Ajo raat hobe?, Haa, rakhlam, Ufff...","I would be arriving home a litlle late Tonight, 
Again?, Yes, Signing off, ohf",0:22:20,0:22:15,0,AudioS20021.mpeg
,,Ganesh,"Hello! Ganesh Das, Ranaghat thanar OC bolchi. K
bolchen? Dakati!","Hello! Ganesh Das this is Ranaghat thana's OC 
speaking, Dakati!",0:22:08,0:21:59,0,AudioS20022.mpeg
