Speaker,Dialogue,Eng_Translation,Start_Time,End_Time,Sarcasm_Label,Audio_Clip,,,end_time
"Barun Biswas
(Mastarda)","Ei shon ajke, khoborer kagoje kichu
beriyeche naki re?",Was there anything in the Newspapers today?,1:56:03,1:56:01,0, Audio001.mpeg,,,0:46
Nikhil,"Kolkatar kotha jani na tobe, ekhankar local
paper e ekta choto story beriyeche","I don't know about Kolkata, but there  is a short 
story that came out in the local paper here.",1:56:00,1:55:57,1,  Audio002.mpeg,,,
1 Boy ,"Mone hochhe, ami parbo na re",I don't think I can do it,1:55:51,1:55:49,0, Audio003.mpeg,,,
2 Boy,"Amaro, kintu takata?","Same here, but the money?",1:55:48,1:55:46,0,Audio004.mpeg,,,
3 Boy,"Bhoy pash na, asche, ready thak","Don't be afraid, they are coming, get ready.",1:55:45,1:55:43,0,Audio005.mpeg,,,
"Barun Biswas
(Mastarda)","Robi dar dokan theke ajker sandhyo kagojta
niye ay na",Get the evening newspaper from  Robi da's shop,1:55:41,1:55:39,0,Audio006.mpeg,,,
"Nikhil, Kingshuk,
 Nikhil, Kingshuk","Achha, Ami jabo, tor sathe?, Chole ay, Aschi","okay, Should I come along?, Sure, I'll be back",1:55:39,1:55:34,0,Audio007.mpeg,,,
"Barun Biswas
(Mastarda), 
Kinghshuk","Ja, tora ay ami stand theke bike ta bar korchi.
Ei shon..., Haa?","Go, I'll go get the bike from the stand. Listen..., Yes?",1:55:33,1:55:27,0,Audio008.mpeg,,,
"Barun Biswas
(Mastarda), 
Kingshuk","Robi da, ager kichu taka pay bujhli, diye dish to mone 
kore, sunte peyechish?, Haa, thikache","I owe Robi da some money, clear the  due. Heard me?,
Yes, okay",1:55:25,1:55:20,0,Audio009.mpeg,,,
"1 Boy, Barun 
Biswas
(Mastarda), 1 
Boy, Barun 
Biswas
(Mastarda)","Mastarda, Ha, bol, ahhh..., Pala..., Kingshuk...","Master da, Yes,tell, Run, Kingshuk",1:55:20,1:55:00,0,Audio0010.mpeg,,,
Koyek bochor age,,Few Years before,1:53:03,1:53:00,N/A,N/A,,,
1 Police ,"Are bollam to, apnader elakata amar thanar
under e pore na.  Badher epar obdhi amar
elaka, ar opar theke Dulanpur","Not my area. My area istill this side of the dam.
That side is under Dulanpur.",1:52:59,1:52:54,0, Audio0011.mpeg,,,
"Boyoshko lok 
(Old man)","Jani, jani borobabu, kintu chele guloto badher
epare oi bhogi  babar bhiter kache amar
meyetake kharap kharap  kotha...","I know sir.But those boys came from this side, 
near Bhogibaba's abode and said such nasty 
things to my daughter",1:52:53,1:52:46,0,Audio0012.mpeg,,,
1 Police ,"Bhogi babar bhite amar thanar  under e pore 
na. Apni borong anno thanay jan. Kemon?","Bhogibaba's abode isn't under my  police station.
Go to some other police station. Okay?",1:52:45,1:52:40,0,Audio0013.mpeg,,,
